tenure,InternetService,Contract,MonthlyCharges,Churn
1,DSL,Month-to-month,29.85,0
34,DSL,One year,56.95,0
2,DSL,Month-to-month,53.85,1
45,DSL,One year,42.3,0
2,Fiber optic,Month-to-month,70.7,1
8,Fiber optic,Month-to-month,99.65,1
22,Fiber optic,Month-to-month,89.1,0
10,DSL,Month-to-month,29.75,0
28,Fiber optic,Month-to-month,104.8,1
62,DSL,One year,56.15,0
13,DSL,Month-to-month,49.95,0
16,No,Two year,18.95,0
58,Fiber optic,One year,100.35,0
49,Fiber optic,Month-to-month,103.7,1
25,Fiber optic,Month-to-month,105.5,0
69,Fiber optic,Two year,113.25,0
52,No,One year,20.65,0
71,Fiber optic,Two year,106.7,0
10,DSL,Month-to-month,55.2,1
21,Fiber optic,Month-to-month,90.05,0
1,DSL,Month-to-month,39.65,1
12,No,One year,19.8,0
1,No,Month-to-month,20.15,1
58,DSL,Two year,59.9,0
49,DSL,Month-to-month,59.6,0
30,DSL,Month-to-month,55.3,0
47,Fiber optic,Month-to-month,99.35,1
1,DSL,Month-to-month,30.2,1
72,DSL,Two year,90.25,0
17,DSL,Month-to-month,64.7,1
71,Fiber optic,Two year,96.35,0
2,Fiber optic,Month-to-month,95.5,0
27,DSL,One year,66.15,0
1,No,Month-to-month,20.2,0
1,DSL,Month-to-month,45.25,0
72,Fiber optic,Two year,99.9,0
5,Fiber optic,Month-to-month,69.7,1
46,Fiber optic,Month-to-month,74.8,0
34,Fiber optic,Month-to-month,106.35,1
11,Fiber optic,Month-to-month,97.85,1
10,DSL,One year,49.55,0
70,DSL,Two year,69.2,0
17,No,One year,20.75,0
63,DSL,Two year,79.85,0
13,DSL,Month-to-month,76.2,0
49,Fiber optic,Month-to-month,84.5,0
2,DSL,Month-to-month,49.25,0
2,Fiber optic,Month-to-month,80.65,1
52,DSL,Two year,79.75,0
69,DSL,Two year,64.15,0
43,Fiber optic,Month-to-month,90.25,0
15,Fiber optic,Month-to-month,99.1,1
25,DSL,Month-to-month,69.5,0
8,Fiber optic,Month-to-month,80.65,1
60,DSL,One year,74.85,0
18,Fiber optic,Month-to-month,95.45,1
63,Fiber optic,One year,99.65,0
66,Fiber optic,One year,108.45,0
34,No,Two year,24.95,0
72,Fiber optic,Two year,107.5,0
47,Fiber optic,Month-to-month,100.5,0
60,Fiber optic,Month-to-month,89.9,0
72,DSL,Two year,42.1,0
18,DSL,One year,54.4,0
9,Fiber optic,Month-to-month,94.4,1
3,DSL,Month-to-month,75.3,0
47,Fiber optic,One year,78.9,0
31,DSL,Two year,79.2,0
50,No,Two year,20.15,0
10,Fiber optic,Month-to-month,79.85,0
1,DSL,Month-to-month,49.05,0
52,No,One year,20.4,0
64,Fiber optic,Two year,111.6,0
